Speaker	Task	City	Region	Gender	Ethnicity	Generation	Word	Vowel	Preceding Phone	Aspirated	Following Phone	Following Class	Begin Time (s)	End Time (s)	Duration (ms)	F0 20%	F0 50%	F0 80%	F1 20%	F1 50%	F1 80%	F2 20%	F2 50%	F2 80%	F3 20%	F3 50%	F3 80%	Normalized F1 20%	Normalized F1 50%	Normalized F1 80%	Normalized F2 20%	Normalized F2 50%	Normalized F2 80%	Notes	Outlier	Checked By	Date	Settings	Analyst	Date	Settings	Praat Version	OS
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	bag	æ	b	n	g	G	6310.41	6310.65	240.75	113	114	124	533	540	419	1697	1746	1887	2511	2561	2543	-0.617311346	-0.60426363	-0.85796185	0.540784495	0.569249967	0.646910776		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	bag	æ	b	n	g	G	6554.70	6554.92	221.24	--undefined--	129	--undefined--	503	512	421	1707	1708	1922	2472	2498	2433	-0.6752426	-0.657508145	-0.853199936	0.546659953	0.547245604	0.66528882		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	bag	æ	b	n	g	G	7038.32	7038.53	210.37	--undefined--	--undefined--	--undefined--	522	518	451	1659	1728	1869	2405	2471	2380	-0.638165182	-0.645857528	-0.78436543	0.51813752	0.55888718	0.637326038		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	bag	æ	b	n	g	G	7206.47	7206.68	210.14	106	128	--undefined--	487	509	453	1631	1677	1833	2391	2412	2344	-0.707568647	-0.663384753	-0.779940644	0.501115833	0.528928992	0.617876478		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	bagel	e	b	n	g	G	6583.02	6583.16	135.40	115	109	107	429	439	381	1722	1884	2057	2444	2482	2548	-0.834375851	-0.811333357	-0.953033395	0.555408915	0.645319685	0.73317112	crosstalk	n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	bagel	e	b	n	g	G	6720.61	6720.73	125.76	114	111	110	427	446	394	1762	1840	1954	2474	2490	2472	-0.839048757	-0.795513818	-0.919481861	0.578372037	0.621688081	0.681801063		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	bagel	e	b	n	g	G	7429.04	7429.16	122.79	113	111	115	385	433	404	1741	1823	1883	2423	2467	2471	-0.942589436	-0.825095042	-0.894417892	0.56638217	0.612406005	0.644788759		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	bathe	e	b	n	ð	C	6676.57	6676.78	209.78	113	111	117	441	372	360	1961	2003	1954	2530	2499	2470	-0.806787894	-0.976938916	-1.009728738	0.685377056	0.706568566	0.681801063		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	bathe	e	b	n	ð	C	7026.16	7026.38	220.22	115	114	114	443	387	377	1947	2083	2040	2544	2644	2570	-0.802263	-0.937408077	-0.963587582	0.678212236	0.745731671	0.724872317		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	bathe	e	b	n	ð	C	7352.38	7352.58	197.96	109	110	112	419	369	357	1858	1995	1972	2430	2465	2472	-0.85796185	-0.985036126	-1.018096988	0.63142315	0.702566559	0.690970765		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	beg	ɛ	b	n	g	G	6396.30	6396.45	149.66	119	112	120	428	440	366	1838	1901	1956	2471	2496	2474	-0.836709574	-0.809058043	-0.993199436	0.620600533	0.654302573	0.682824081		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	beg	ɛ	b	n	g	G	6804.38	6804.59	205.21	115	116	118	414	426	348	1776	1821	2013	2497	2489	2495	-0.869966796	-0.841393424	-1.04363029	0.586286154	0.61130831	0.711548656		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	beg	ɛ	b	n	g	G	7198.54	7198.70	164.71	110	110	108	468	455	397	1776	1856	2063	2465	2497	2397	-0.747364474	-0.775535351	-0.911896489	0.586286154	0.630346143	0.736083743		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	beige	e	b	n	ʒ	C	6606.29	6606.56	270.20	110	107	113	410	391	329	1954	2079	2091	2466	2541	2736	-0.87967561	-0.92712521	-1.099775019	0.681801063	0.743809518	0.74956493		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	beige	e	b	n	ʒ	C	6729.96	6730.22	256.96	110	110	117	418	354	315	1956	1983	2011	2529	2542	2571	-0.860351337	-1.026535857	-1.143260131	0.682824081	0.696533359	0.71055462		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
